,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
1,1.01,Dewas,Madhya Pradesh,GAIL Gas Limited,01-Jun-09,40000,40000,22726,2,2,6,320,320,400
2,1.02,Kota,Rajasthan,Rajasthan State Gas Limited,01-Jun-09,100000,100000,54151,6,6,12,344,344,357
3,1.03,Mathura,Uttar Pradesh,Torrent Gas Limited,11-Jun-09,65000,65000,19275,5,5,13,347,347,397
4,1.04,Kakinada,Andhra Pradesh,Bhagyanagar Gas Limited,12-Jun-09,50000,50000,66322,9,9,13,622,622,366
5,1.05,Sonipat,Haryana,GAIL Gas Limited,12-Jun-09,60000,60000,38830,3,3,28,329,329,581
6,1.06,Meerut,Uttar Pradesh,GAIL Gas Limited,12-Jun-09,125000,125000,60309,5,5,22,643,643,1285
7,2.01,Chandigarh,"Chandigarh,",Indian-Oil Adani Gas Private Limited,08-May-13,700000,700000,30316,NA,NA,35,1750,1750,1767
,,,"Haryana, Punjab &",,,,,,,,,,,
,,,Himachal Pradesh,,,,,,,,,,,
8,2.02,Allahabad,Uttar Pradesh,Indian-Oil Adani Gas Private Limited,08-May-13,225000,225000,23787,NA,NA,9,480,480,534
9,2.03,Jhansi,Uttar Pradesh,Central UP Gas Limited,26-Feb-14,23706,23706,27390,NA,NA,10,72,72,114
10,3.01,Jalandhar *,Punjab,Adani Total Gas Limited,06-Sep-13,187200,187200,0,NA,NA,7,23400,23400,12
11,3.02,Bhavnagar  ,Gujarat,Gujarat Gas Limited,05-Mar-14,490000,490000,76520,NA,NA,41,8986,8986,581
12,3.03,Jamnagar,Gujarat,Gujarat Gas Limited,17-Jan-14,368000,368000,57871,NA,NA,30,12856,12856,653
13,3.04,Kutch (West)  ,Gujarat,Gujarat Gas Limited,19-Dec-14,166000,166000,13429,NA,NA,19,10271,10271,610
14,3.05,Kutch (East)*,Gujarat,Jay Madhok Energy Private Limited led Consortium,12-Mar-15,142000,142000,0,NA,NA,0,44500,44500,0
15,3.06,Ludhiana*,Punjab,Jay Madhok Energy Private Limited led Consortium,25-Jul-15,298000,298000,0,NA,NA,3,26000,26000,41
16,4.01,Bengaluru Rural and Urban Districts,Karnataka,GAIL Gas Limited,18-Feb-15,131156,131156,276829,NA,NA,136,1582,1582,5430
17,4.02,Panipat District,Haryana,Indian-Oil Adani Gas Private Limited,01-Apr-15,11782,11782,17581,NA,NA,19,650,650,1411
18,4.03,Palghar District & Thane Rural,Maharashtra,Gujarat Gas Limited,01-Apr-15,51452,51452,54720,NA,NA,37,1800,1800,2051
19,4.04,Raigarh District (EAAA),Maharashtra,Mahanagar Gas Limited,01-Apr-15,26476,26476,95714,NA,NA,65,1800,1800,2418
20,4.05,UT of Dadra & Nagar Haveli  ,Dadra & Nagra Haveli,Gujarat Gas Limited,01-Apr-15,3823,3823,13412,NA,NA,6,320,320,1462
21,4.06,UT of Daman  ,Daman and Diu,Indian-Oil Adani Gas Private Limited,01-Apr-15,2519,2519,5342,NA,NA,5,33,33,786
22,4.07,Amritsar  District,Punjab,Gujarat Gas Limited,05-May-15,24445,24445,30874,NA,NA,17,953,953,3304
23,4.08,Pune District (EAAA),Maharashtra,Torrent Gas Limited,18-May-15,52810,52810,22712,NA,NA,69,1800,1800,2860
24,4.09,Ernakulam District,Kerala,Indian-Oil Adani Gas Private Limited,14-Oct-15,40701,40701,42226,NA,NA,21,1099,1099,1589
,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
25,5.01,Udham Singh Nagar District,Uttrakhand,Indian-Oil Adani Gas Private Limited,28-Jul-15,15429,15429,17899,NA,NA,13,921,921,1847
26,5.02,Haridwar District,Uttrakhand,Haridwar Natural Gas Private,27-Jul-15,16905,16905,25447,NA,NA,11,830,830,1395
,,,,Limited,,,,,,,,,,
27,5.03,East Godavari District (EAAA),Andhra Pradesh,Godavari Gas Private Limited,14-Aug-15,60934,60934,49800,NA,NA,16,1800,1800,777
28,5.04,West Godavari District    ,Andhra Pradesh,Godavari Gas Private Limited,14-Aug-15,54576,54576,51107,NA,NA,16,1800,1800,972
29,5.05,Tumkur District,Karnataka,Megha City Gas Distribution  Private Limited,14-Aug-15,32004,32004,31996,NA,NA,10,1800,1800,1684
30,5.06,Krishna District (EAAA),Andhra Pradesh,Megha City Gas Distribution  Private Limited,14-Sep-15,50837,50837,28896,NA,NA,33,1800,1800,2889
31,5.07,Dharwad  District,Karnataka,Indian-Oil Adani Gas Private Limited,14-Sep-15,19135,19135,20497,NA,NA,10,1520,1520,1699
32,5.08,Belgaum District,Karnataka,Megha City Gas Distribution  Private Limited,14-Sep-15,49193,49193,33428,NA,NA,15,1800,1800,1611
33,6.01,Bhatinda  District,Punjab,Gujarat Gas Limited,10-May-16,13695,13695,5961,NA,NA,19,1209,1209,1389
34,6.02,Saharanpur District,Uttar Pradesh,Bharat Petroleum Corporation,11-May-16,29883,29883,29884,NA,NA,16,1342,1342,1373
,,,,Limited,,,,,,,,,,
35,6.03,Amreli District,Gujarat,Gujarat Gas Limited,27-May-16,14742,14742,17744,NA,NA,15,1800,1800,1814
36,6.04,Patan District,Gujarat,Sabarmati Gas Limited,27-May-16,13382,13382,23832,NA,NA,25,1800,1800,1954
37,6.05,Dahej Vagra Taluka,Gujarat,Gujarat Gas Limited,06-Jun-16,1080,1080,1588,NA,NA,5,591,591,790
38,6.06,Rupnagar District,Punjab,Bharat Petroleum Corporation,10-Jun-16,6782,6782,9531,NA,NA,19,650,650,749
,,,,Limited,,,,,,,,,,
39,6.07,North Goa District,Goa,Goa Natural Gas Private Limited,24-Jun-16,9588,9588,11208,NA,NA,7,650,650,819
40,6.08,Dahod District,Gujarat,Gujarat Gas Limited,27-Jun-16,16714,16714,13036,NA,NA,19,1309,1309,1315
41,6.09,Banaskantha District,Gujarat,IRM Energy  Limited,01-Jul-16,28021,28021,58866,NA,NA,49,1800,1800,2850
42,6.1,Anand District (EAAA),Gujarat,Gujarat Gas Limited,04-Jul-16,12650,12650,45215,NA,NA,29,680,680,3242
43,6.11,Panchmahal District,Gujarat,Gujarat Gas Limited,04-Jul-16,15191,15191,27838,NA,NA,31,1189,1189,2287
44,6.12,Fatehgarh Sahib District,Punjab,IRM Energy  Limited,05-Jul-16,5905,5905,6744,NA,NA,12,650,650,1355
45,6.13,Yamunanagar District,Haryana,Bharat Petroleum Corporation,22-Jul-16,11771,11771,11772,NA,NA,15,650,650,977
,,,,Limited,,,,,,,,,,
46,6.14,Ratnagiri District,Maharashtra,Unison Enviro Private Limited,09-Aug-16,19856,19856,18657,NA,NA,26,1800,1800,447
47,6.15,Rewari District,Haryana,Indraprastha Gas Limited,19-Aug-16,8902,8902,33204,NA,NA,46,650,650,2467
48,6.16,Dhar District,Madhya Pradesh,Naveriya Gas Private Limited,07-Nov-16,1061,1061,1500,NA,NA,4,1800,1800,672
49,6.17,Rohtak District,Haryana,Bharat Petroleum Corporation,09-Apr-18,10300,9528,12899,NA,NA,25,650,634,1248
,,,,Limited,,,,,,,,,,
50,6.18,Ahmedabad District (EAAA),Gujarat,Gujarat Gas Limited,22-06-2016,13050,6525,20520,NA,NA,29,1800,1440,1926
,,,,,(New start date,,,,,,,,,
,,,,,01.04.2022),,,,,,,,,
51,7.01,Solapur District,Maharashtra,IMC Limited,06-Mar-17,43658,43658,36719,NA,NA,25,1800,1800,1081
,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
52,8.01,South Goa District,Goa,Indian-Oil Adani Gas Private Limited,07-Feb-18,7592,7592,7657,NA,NA,7,698,698,828
53,8.02,Karnal District,Haryana,Indraprastha Gas Limited,08-Feb-18,14604,14604,36142,NA,NA,30,896,896,1732
54,8.03,Ambala & Kurukshetra Districts,Haryana,HPOIL Gas Private Limited,22-Feb-18,20624,20624,21005,NA,NA,31,1142,1142,1832
